Date,Target,Naive,Naive (drift),AutoSARIMA,AutoSARIMAX,Exponential Smoothing,Theta,STL,XGBoost,XGBoost (+ X)
2014-03,76.20458908055011,80.37404327905884,80.61812240584032,79.18810954526136,77.70721755909727,79.19720016076249,60.35992970597904,76.05628642303645,74.5242,77.189705
2014-04,77.05114704126368,76.20458908055011,76.41249170466529,76.72609330624371,77.57977525777528,76.95423350559282,60.359164452630615,81.34304525361131,74.64494,77.91941
2014-05,76.79887962899795,77.05114704126368,77.26424198518859,77.38736781135883,76.6232828879578,77.0265194579201,60.35869779927658,74.41426808230221,74.89924,76.51101
2014-06,74.67844786931717,76.79887962899795,77.00822165069553,76.77587391137412,76.4582236768147,76.8568778705636,60.358023772011045,78.4697059595809,74.877556,76.843155
2014-07,73.22397334463155,74.67844786931717,74.86915170076371,75.06667094636549,77.33715611334631,75.2321398356104,60.35633985011898,75.01398477557663,74.650055,74.85504
2014-08,73.3998608939136,73.22397334463155,73.40162020499768,73.41564370084093,72.10999305673673,73.72421736099143,60.35399596625234,73.53489503722504,73.2959,73.37686
2014-09,73.38507210884507,73.3998608939136,73.57749390143655,73.32227832377528,73.60385510723484,73.48032147351248,60.351724350380685,73.07377030667983,73.640915,75.66475
2014-10,75.0547815160445,73.38507210884507,73.5612018211134,73.58339348384915,74.6770053629514,73.40880957366214,60.34944276710387,72.88884902952634,70.075165,71.46633
2014-11,74.29663463430187,75.0547815160445,75.24248936548284,74.78019883259135,74.70230342458777,74.64349548411812,60.34784473110453,74.88741515156691,74.25771,72.65523
2014-12,78.06067952340283,74.29663463430187,74.47706667811573,74.68833641306561,72.01346409859283,74.38329390412322,60.34590912132411,75.1562977917014,75.136765,75.63816
2015-01,79.4131906744671,78.06067952340283,78.26846739046316,77.06845989010883,77.00428056860463,77.14048774892626,60.34545760423702,76.22453173537423,75.22245,77.256935
2015-02,79.29338551116948,79.4131906744671,79.62965068761838,79.47173565489467,79.59855940736603,78.86737566658051,60.34545718601137,80.65310519926378,78.317986,78.57289
2015-03,85.83942017617154,79.29338551116948,79.50731721472339,79.15444838880167,78.92784269448879,79.19122984303331,60.34531261215576,79.92558553482361,75.41445,79.757195
2015-04,88.35541781818249,85.83942017617154,86.10060637943776,84.51115204774193,83.86931661688325,84.27606418430379,60.34756980508975,83.2721659472501,83.10156,81.42279
2015-05,90.55393406824626,88.35541781818249,88.63330632840237,87.66569793761659,90.276346599715,87.51972338689593,60.35057691592971,90.08065932534167,84.27381,82.908066
2015-06,86.64225075745124,90.55393406824626,90.84594484125911,89.99901432177535,91.55028238705958,89.95958486971311,60.35417167510765,90.68116604682575,88.41882,84.06901
2015-07,85.20632410685626,86.64225075745124,86.90357763204213,87.28421446696551,86.11634175284786,87.33256855906068,60.356092121872386,90.86082350788408,85.35737,85.40641
2015-08,85.3178402137432,85.20632410685626,85.45535204285885,85.6138731639605,85.30983242318734,85.64386063985823,60.35732087287245,84.22926034552265,80.666046,77.87092
2015-09,86.54371982962647,85.3178402137432,85.56587885601114,85.29798116873381,85.27110294421232,85.38465015479517,60.35844388075822,85.37058955197793,84.462,78.63759
2015-10,81.76833474635227,86.54371982962647,86.79874305027738,86.41517456247887,86.75094520941741,86.30409725034217,60.35985535195543,85.70093426939165,86.338036,78.268936
2015-11,85.04493287447663,81.76833474635227,81.98768131236541,82.64724399859477,84.04500401559096,82.72186234143459,60.359472950773494,84.91134040687206,79.12263,75.605675
2015-12,84.93648347771682,85.04493287447663,85.28580938106802,84.78547771898059,83.26442924836556,84.54554855187028,60.36012838018826,81.83286654700042,83.51494,81.3189
2016-01,84.62783579886309,84.93648347771682,85.17491714582324,85.00793005289451,86.83625893968946,84.85149784498066,60.36063155244633,86.47651992114993,84.872246,84.52238
2016-02,86.92139922845105,84.62783579886309,84.86247029094895,84.74428811189496,84.40657530697683,84.67653464102649,60.36092434618352,84.50405828169534,84.800766,80.812355
2016-03,81.13535863116725,86.92139922845105,87.17023323045072,86.93769561109114,86.03758354261936,86.4321535885495,60.36186532508196,86.40815821838737,83.67896,85.73785
2016-04,78.15418053723519,81.13535863116725,81.34285787563758,82.42008932832348,81.60822100136238,82.33262724530472,60.36082376676524,85.00683194471641,77.36315,76.88399
2016-05,73.48433245501231,78.15418053723519,78.33998809913136,78.9508471255832,79.00415842656957,79.02373243205844,60.358794554654814,77.30321697901037,77.72439,75.45992
2016-06,71.48682726420343,73.48433245501231,73.6373315328266,74.09716138527595,78.86587700014195,74.52191868941804,60.355302865299016,75.35664069266,73.17993,73.769775
2016-07,72.080897764219,71.48682726420343,71.6253934274632,71.70226955348156,70.19638337819265,72.00936568206933,60.351251845841034,69.4740682513985,72.49617,72.781136
2016-08,74.88175641748231,72.080897764219,72.22250062305714,71.8968185427563,72.94393195530125,72.06835395923234,60.34746190626608,71.46319301706637,72.56173,73.34713
2016-09,71.63405209765155,74.88175641748231,75.04097024184644,74.42333823719574,73.98857242047035,74.37906530750062,60.34458467817068,73.19594432644902,73.64474,72.939255
2016-10,74.14457905198392,71.63405209765155,71.7708519868565,71.97470295673392,74.3962000981108,72.13648888553465,60.34078054757748,74.47181606354829,74.59952,75.9789
2016-11,70.49808019808044,74.14457905198392,74.2968934971701,73.88395969185386,74.38605798394963,73.77013188603934,60.33778477431926,71.93751929022017,74.55601,74.65992
2016-12,66.91108596647555,70.49808019808044,70.62572702444136,71.12160909983267,71.99612117148837,71.1209730721899,60.33377816636053,73.48995544292845,70.73977,75.991905
2017-01,67.08680383316769,66.91108596647555,67.01476736665605,67.69491651975677,67.07707604461123,67.6728252432882,60.328830679106744,66.94348221885275,72.43154,67.712036
2017-02,66.47021321094192,67.08680383316769,67.19094700556941,67.0542915065125,67.45846974872836,67.19076666689045,60.324052018084934,66.05474180064384,71.83697,68.668274
2017-03,68.61012410114029,66.47021321094192,66.56976572223137,66.58803943303073,65.81732266330752,66.59934305671608,60.31921563058344,66.3798949732722,71.10654,68.59282
2017-04,66.34713207807759,68.61012410114029,68.72259027305574,68.19848989657123,67.78942858520048,68.24681498943377,60.315083934635076,67.12313077060281,70.52109,67.20758
2017-05,67.14666602838007,66.34713207807759,66.44465826134538,66.79777656048398,67.00453104708888,66.69428999707456,60.31042960947131,68.92494504222665,70.268776,72.3807
2017-06,63.3405960238258,67.14666602838007,67.24857976019183,66.98992958637716,67.53401192180974,67.06372877596867,60.30610100526988,65.34436717669365,70.16374,68.2367
2017-07,60.82402750518398,63.3405960238258,63.41823656472845,64.09746381807271,63.87025033708008,64.02583510533458,60.300865266956286,66.32210969687081,66.9826,67.454025
2017-08,62.10934148720391,60.82402750518398,60.885654409916604,61.31569986910423,61.731280258252184,61.38290387446613,60.29510572351243,59.92727135768635,67.20358,64.63671
2017-09,62.76819615765065,62.10934148720391,62.178475674619285,61.85840734143308,61.7582171649251,61.98129343217477,60.28983203325642,60.78556773236458,61.812515,61.09548
2017-10,58.45098421690044,62.76819615765065,62.840926201669866,62.63787649428233,62.357329021803,62.628139358247395,60.284863454118664,62.59413053639282,67.57617,64.115395
2017-11,63.31046595542812,58.45098421690044,58.49710855192105,59.31254049893557,59.783605345090706,59.20334052312825,60.278933138498246,60.74120376556082,62.590282,61.89584
2017-12,64.31056962140332,63.31046595542812,63.385586419385525,62.339159390030304,61.86572548350685,62.53447690240017,60.27437499931141,59.54840083492601,60.09584,59.73069
2018-01,66.99549762078,64.31056962140332,64.3912289069297,64.1062644105811,64.08098040529777,63.98051227450337,60.2701765622759,65.61778547302244,61.688313,63.923702
2018-02,61.435380574968185,66.99549762078,67.09165850579357,66.44379020440434,66.47590299926752,66.44716186066539,60.26673266168722,65.8017566884439,67.09173,66.930855
2018-03,61.30132289282778,61.435380574968185,61.498072359799366,62.59213272410751,62.51262410876734,62.398553679572714,60.262027464398976,66.22600035833818,65.38752,64.47273
2018-04,64.95098425489407,61.30132289282778,61.36285732785324,61.32893130874675,61.51934410685104,61.50804228537352,60.25741039984087,58.78363242134597,61.289276,62.71572
2018-05,57.12742443891489,64.95098425489407,65.03350188832329,64.19599918260387,64.86168195995587,64.28151679871421,60.253767996462166,63.51938691513015,66.73647,59.16624
2018-06,57.25773028577733,57.12742443891489,57.163976505777775,58.77263639837629,58.63410108856709,58.61048707195129,60.24839346812654,62.06130791795202,61.51324,61.66149
2018-07,56.87205295388885,57.25773028577733,57.29482428200437,57.23045220999367,58.164949531122886,57.525598390889634,60.24319303027616,54.00890526375021,63.200188,59.604527
2018-08,59.7845857156648,56.87205295388885,56.906717229839366,56.95333570932738,57.45806198300264,57.00361840118482,60.23804377933625,57.8835279791751,59.42006,54.81652
2018-09,60.38347906086595,59.7845857156648,59.83569495439146,59.16721378571097,59.302192838368725,59.21731261966546,60.23368536184618,56.59868603306047,63.941936,55.423584
2018-10,60.77549906803775,60.38347906086595,60.43770070928849,60.25548110868934,60.292872153125174,60.14841289617353,60.229570960813945,62.346052651510476,59.94179,57.729168
2018-11,60.977456000217394,60.77549906803775,60.831629181763965,60.691336669003206,60.49542054061156,60.649215464030576,60.22564593394753,60.34201557416116,60.62138,59.3799
2018-12,58.17360053553555,60.977456000217394,61.03440536573267,60.933936295772696,61.05365608232202,60.91134181162427,60.22186216955762,61.41640960203264,61.06858,60.171303
2019-01,59.92844983250163,58.17360053553555,58.214567751161454,58.779721217850856,58.99267706530239,58.727636360552296,60.217570070039365,59.928668387024416,60.23322,58.78694
2019-02,60.3352653609912,59.92844983250163,59.978938615246086,59.54876280503961,60.02661615908852,59.68413414129755,60.2137605341056,57.548749992525345,59.238514,60.163876
