datetime,bid_close_agg
2021-12-06,1.1283
2021-12-07,1.12718
2021-12-08,1.13435
2021-12-09,1.1293
2021-12-10,1.13102
2021-12-13,1.12827
2021-12-14,1.12571
2021-12-15,1.12895
2021-12-16,1.1333
2021-12-17,1.12424
2021-12-20,1.12765
2021-12-21,1.12865
2021-12-22,1.13259
2021-12-23,1.13219
2021-12-24,1.13224
2021-12-27,1.1329
2021-12-28,1.13123
2021-12-29,1.13591
2021-12-30,1.13216
2021-12-31,1.13723
2022-01-03,1.13012
2022-01-04,1.12824
2022-01-05,1.131
2022-01-06,1.12942
2022-01-07,1.13528
2022-01-10,1.13294
2022-01-11,1.13653
2022-01-12,1.14388
2022-01-13,1.14557
2022-01-14,1.14105
2022-01-17,1.14091
2022-01-18,1.1328
2022-01-19,1.13424
2022-01-20,1.13122
2022-01-21,1.13405
2022-01-24,1.13231
2022-01-25,1.13024
2022-01-26,1.12401
2022-01-27,1.11438
2022-01-28,1.11512
2022-01-31,1.12287
2022-02-01,1.12723
2022-02-02,1.12987
2022-02-03,1.1435
2022-02-04,1.14538
2022-02-07,1.14405
2022-02-08,1.14199
2022-02-09,1.14202
2022-02-10,1.14107
2022-02-11,1.13637
2022-02-14,1.13053
2022-02-15,1.13545
2022-02-16,1.13719
2022-02-17,1.1363
2022-02-18,1.13159
2022-02-21,1.13085
2022-02-22,1.13283
2022-02-23,1.13047
2022-02-24,1.11897
2022-02-25,1.11795
2022-02-28,1.12137
2022-03-01,1.11316
2022-03-02,1.11117
2022-03-03,1.10651
2022-03-04,1.08731
2022-03-07,1.08655
2022-03-08,1.08971
2022-03-09,1.10729
2022-03-10,1.10126
2022-03-11,1.09307
2022-03-14,1.09418
2022-03-15,1.09661
2022-03-16,1.10209
2022-03-17,1.10983
2022-03-18,1.10417
2022-03-21,1.10158
2022-03-22,1.10287
2022-03-23,1.10053
2022-03-24,1.10076
2022-03-25,1.09807
2022-03-28,1.09906
2022-03-29,1.10902
2022-03-30,1.11603
2022-03-31,1.10721
2022-04-01,1.1045
2022-04-04,1.09742
2022-04-05,1.09053
2022-04-06,1.08968
2022-04-07,1.08636
2022-04-08,1.08836
2022-04-11,1.08761
2022-04-12,1.08253
2022-04-13,1.08942
2022-04-14,1.08192
2022-04-15,1.08131
2022-04-18,1.07793
2022-04-19,1.07935
2022-04-20,1.08489
2022-04-21,1.08342
2022-04-22,1.08086
2022-04-25,1.07118
2022-04-26,1.0642
2022-04-27,1.05536
2022-04-28,1.05023
2022-04-29,1.05339
2022-05-02,1.05089
2022-05-03,1.05243
2022-05-04,1.06199
2022-05-05,1.05387
2022-05-06,1.05313
2022-05-09,1.05626
2022-05-10,1.05281
2022-05-11,1.05111
2022-05-12,1.03775
2022-05-13,1.03972
2022-05-16,1.04383
2022-05-17,1.05478
2022-05-18,1.04723
2022-05-19,1.05785
2022-05-20,1.05682
2022-05-23,1.0683
2022-05-24,1.07321
2022-05-25,1.0686
2022-05-26,1.07319
2022-05-27,1.07287
2022-05-30,1.07723
2022-05-31,1.07333
2022-06-01,1.06505
2022-06-02,1.07495
2022-06-03,1.07244
2022-06-06,1.06889
2022-06-07,1.06967
2022-06-08,1.07159
2022-06-09,1.06182
2022-06-10,1.049
2022-06-13,1.04143
2022-06-14,1.04362
2022-06-15,1.04567
2022-06-16,1.05457
2022-06-17,1.04892
2022-06-20,1.05167
2022-06-21,1.05307
2022-06-22,1.0564
2022-06-23,1.05187
2022-06-24,1.05659
2022-06-27,1.05791
2022-06-28,1.05213
2022-06-29,1.0445
2022-06-30,1.04776
2022-07-01,1.04317
2022-07-04,1.04321
2022-07-05,1.02559
2022-07-06,1.01837
2022-07-07,1.01678
2022-07-08,1.01667
2022-07-11,1.0045
2022-07-12,1.00292
2022-07-13,1.00336
2022-07-14,1.00257
2022-07-15,1.00967
2022-07-18,1.01456
2022-07-19,1.02297
2022-07-20,1.01802
2022-07-21,1.02194
2022-07-22,1.01986
2022-07-25,1.02225
2022-07-26,1.0128
2022-07-27,1.02047
2022-07-28,1.01911
2022-07-29,1.02096
2022-08-01,1.02622
2022-08-02,1.01557
2022-08-03,1.01558
2022-08-04,1.02463
2022-08-05,1.01712
2022-08-08,1.01972
2022-08-09,1.02072
2022-08-10,1.0298
2022-08-11,1.03196
2022-08-12,1.02529
2022-08-15,1.01608
2022-08-16,1.01688
2022-08-17,1.01768
2022-08-18,1.00881
2022-08-19,1.00355
2022-08-22,0.99376
2022-08-23,0.99658
2022-08-24,0.99672
2022-08-25,0.99701
2022-08-26,0.9935
2022-08-29,1.00101
2022-08-30,1.00227
2022-08-31,1.00374
2022-09-01,0.99509
2022-09-02,0.99071
2022-09-05,0.99493
2022-09-06,0.98964
2022-09-07,0.99974
2022-09-08,1.00092
2022-09-09,1.00694
2022-09-12,1.01284
2022-09-13,0.99774
2022-09-14,0.99814
2022-09-15,0.99869
2022-09-16,1.00214
2022-09-19,1.00292
2022-09-20,0.99704
2022-09-21,0.98306
2022-09-22,0.98378
2022-09-23,0.9685
2022-09-26,0.96193
2022-09-27,0.95949
2022-09-28,0.9705
2022-09-29,0.98282
2022-09-30,0.97928
2022-10-03,0.98325
2022-10-04,0.9983
2022-10-05,0.9911
2022-10-06,0.97886
2022-10-07,0.97337
2022-10-10,0.97105
2022-10-11,0.97
2022-10-12,0.97042
2022-10-13,0.97666
2022-10-14,0.97391
2022-10-17,0.98431
2022-10-18,0.98619
2022-10-19,0.97648
2022-10-20,0.97779
2022-10-21,0.98588
2022-10-24,0.98835
2022-10-25,0.9961
2022-10-26,1.00926
2022-10-27,0.99663
2022-10-28,0.99537
2022-10-31,0.98851
2022-11-01,0.98767
2022-11-02,0.9813
2022-11-03,0.97483
2022-11-04,0.99275
2022-11-07,1.00167
2022-11-08,1.00796
2022-11-09,1.00185
2022-11-10,1.01907
2022-11-11,1.03262
2022-11-14,1.0319
2022-11-15,1.03567
2022-11-16,1.03927
2022-11-17,1.03599
2022-11-18,1.03297
2022-11-21,1.02445
2022-11-22,1.03099
2022-11-23,1.0417
2022-11-24,1.04067
2022-11-25,1.03664
2022-11-28,1.03425
2022-11-29,1.03231
2022-11-30,1.04226
2022-12-01,1.05271
2022-12-02,1.05431
2022-12-05,1.04955
2022-12-06,1.04667
2022-12-07,1.0511
2022-12-08,1.05549
2022-12-09,1.05199
2022-12-12,1.05405
2022-12-13,1.06235
2022-12-14,1.06752
2022-12-15,1.0638
2022-12-16,1.05836
2022-12-19,1.06116
2022-12-20,1.06246
2022-12-21,1.0607
2022-12-22,1.06004
2022-12-23,1.06141
2022-12-26,1.06391
2022-12-27,1.06363
2022-12-28,1.06282
2022-12-29,1.06597
2022-12-30,1.06989
2023-01-02,1.0676
2023-01-03,1.05446
2023-01-04,1.06052
2023-01-05,1.05199
2023-01-06,1.06619
2023-01-09,1.07318
2023-01-10,1.07376
2023-01-11,1.07648
2023-01-12,1.08591
2023-01-13,1.0822
2023-01-16,1.0829
2023-01-17,1.07886
2023-01-18,1.07969
2023-01-19,1.08328
2023-01-20,1.08635
2023-01-23,1.08707
2023-01-24,1.0889
2023-01-25,1.09199
2023-01-26,1.08922
2023-01-27,1.08712
2023-01-30,1.08492
2023-01-31,1.08599
2023-02-01,1.1012
2023-02-02,1.09038
2023-02-03,1.07886
2023-02-06,1.07285
2023-02-07,1.07299
2023-02-08,1.07147
2023-02-09,1.07384
2023-02-10,1.06765
2023-02-13,1.07305
2023-02-14,1.07346
2023-02-15,1.06908
2023-02-16,1.06646
2023-02-17,1.06834
2023-02-20,1.06814
2023-02-21,1.06505
2023-02-22,1.06048
2023-02-23,1.05966
2023-02-24,1.05526
2023-02-27,1.06089
2023-02-28,1.05762
2023-03-01,1.06679
2023-03-02,1.05977
2023-03-03,1.06249
2023-03-06,1.06848
2023-03-07,1.05476
2023-03-08,1.05485
2023-03-09,1.05849
2023-03-10,1.06803
2023-03-13,1.07221
2023-03-14,1.07261
2023-03-15,1.05809
2023-03-16,1.06129
2023-03-17,1.06798
2023-03-20,1.07177
2023-03-21,1.07721
2023-03-22,1.08684
2023-03-23,1.08339
2023-03-24,1.07769
2023-03-27,1.08057
2023-03-28,1.08383
2023-03-29,1.08418
2023-03-30,1.09034
2023-03-31,1.08017
2023-04-03,1.09061
2023-04-04,1.09568
2023-04-05,1.09023
2023-04-06,1.09189
2023-04-07,1.09124
2023-04-10,1.08681
2023-04-11,1.09155
2023-04-12,1.09962
2023-04-13,1.10512
2023-04-14,1.09837
2023-04-17,1.09237
2023-04-18,1.09742
2023-04-19,1.09512
2023-04-20,1.0967
2023-04-21,1.09911
2023-04-24,1.10563
2023-04-25,1.09773
2023-04-26,1.10446
2023-04-27,1.10309
2023-04-28,1.10101
2023-05-01,1.09681
2023-05-02,1.10102
2023-05-03,1.1068
2023-05-04,1.10223
2023-05-05,1.10177
2023-05-08,1.09959
2023-05-09,1.09637
2023-05-10,1.0982
2023-05-11,1.09118
2023-05-12,1.08523
2023-05-15,1.08729
2023-05-16,1.08645
2023-05-17,1.08373
2023-05-18,1.07744
2023-05-19,1.08213
2023-05-22,1.08099
2023-05-23,1.07686
2023-05-24,1.07548
2023-05-25,1.07226
2023-05-26,1.07209
2023-05-29,1.07059
2023-05-30,1.0731
2023-05-31,1.06926
2023-06-01,1.07597
2023-06-02,1.06961
2023-06-05,1.07107
2023-06-06,1.06981
2023-06-07,1.07061
2023-06-08,1.07811
2023-06-09,1.07492
2023-06-12,1.07614
2023-06-13,1.07888
2023-06-14,1.08421
2023-06-15,1.09447
2023-06-16,1.0939
2023-06-19,1.09227
2023-06-20,1.09192
2023-06-21,1.09909
2023-06-22,1.09547
2023-06-23,1.09055
2023-06-26,1.09091
2023-06-27,1.09567
2023-06-28,1.09145
2023-06-29,1.08667
2023-06-30,1.09064
2023-07-03,1.09121
2023-07-04,1.08817
2023-07-05,1.08546
2023-07-06,1.08888
2023-07-07,1.09663
2023-07-10,1.10045
2023-07-11,1.1013
2023-07-12,1.11398
2023-07-13,1.12226
2023-07-14,1.12264
2023-07-17,1.12366
2023-07-18,1.12275
2023-07-19,1.12042
2023-07-20,1.11338
2023-07-21,1.11236
2023-07-24,1.10623
2023-07-25,1.10493
2023-07-26,1.10772
2023-07-27,1.09773
2023-07-28,1.10232
2023-07-31,1.0996
2023-08-01,1.10071
2023-08-02,1.09427
2023-08-03,1.09502
2023-08-04,1.10017
2023-08-07,1.1002
2023-08-08,1.09584
2023-08-09,1.09765
2023-08-10,1.09809
2023-08-11,1.09425
2023-08-14,1.0907
2023-08-15,1.09031
2023-08-16,1.08736
2023-08-17,1.08737
2023-08-18,1.08743
2023-08-21,1.08969
2023-08-22,1.08457
2023-08-23,1.08648
2023-08-24,1.07983
2023-08-25,1.07963
2023-08-28,1.08248
2023-08-29,1.08684
2023-08-30,1.09287
2023-08-31,1.08418
2023-09-01,1.0775
2023-09-04,1.07905
2023-09-05,1.07238
2023-09-06,1.07232
2023-09-07,1.06968
2023-09-08,1.07155
2023-09-11,1.07468
2023-09-12,1.07523
2023-09-13,1.07322
2023-09-14,1.06343
2023-09-15,1.06672
2023-09-18,1.06912
2023-09-19,1.06807
2023-09-20,1.06492
2023-09-21,1.06597
2023-09-22,1.06476
2023-09-25,1.05905
2023-09-26,1.05684
2023-09-27,1.05045
2023-09-28,1.05614
2023-09-29,1.05633
2023-10-02,1.04792
2023-10-03,1.04678
2023-10-04,1.05062
2023-10-05,1.05455
2023-10-06,1.05655
2023-10-09,1.05779
2023-10-10,1.06036
2023-10-11,1.06228
2023-10-12,1.05348
2023-10-13,1.05212
2023-10-16,1.05538
2023-10-17,1.0572
2023-10-18,1.05372
2023-10-19,1.05858
2023-10-20,1.05888
2023-10-23,1.06692
